year,observed,fitted
1996,78,60.24094934169846
1997,42,62.50745500507319
1998,84,64.53552558609455
1999,66,65.96596733908301
2000,39,66.42355171138702
2001,48,65.55900470584993
2002,35,63.10702883051948
2003,82,58.950197458345365
2004,73,53.33851505039289
2005,40,47.24615702470405
2006,43,41.537725027628476
2007,29,36.74940507748553
2008,48,33.1718768510701
2009,14,30.972954874367964
2010,73,30.329750449431845
2011,48,31.563055153921272
2012,33,34.94345264712603
2013,33,40.69901916994058
2014,40,49.28988993344419
2015,57,61.34963128301633
2016,58,77.56587494113828
2017,57,98.4596962470434
2018,43,124.02229731150994
2019,95,153.59087608131972
2020,254,187.07343907780484
2021,273,224.7206927484714
2022,418,266.9693336912874
2023,367,314.5359014778138
2024,302,368.5299245534611
2025,374,430.59812805186806
