year,outbreak_records,rolling_mean_3yr
1996,78,NA
1997,42,68.66666666666667
1998,86,65
1999,67,64.33333333333333
2000,40,52
2001,49,41.666666666666664
2002,36,56
2003,83,64
2004,73,65.33333333333333
2005,40,52
2006,43,37.333333333333336
2007,29,40
2008,48,94.66666666666667
2009,207,109.33333333333333
2010,73,109.33333333333333
2011,48,51.333333333333336
2012,33,38
2013,33,35.333333333333336
2014,40,43.333333333333336
2015,57,51.666666666666664
2016,58,57.333333333333336
2017,57,52.666666666666664
2018,43,65
2019,95,131
2020,255,208
2021,274,316
2022,419,353.6666666666667
2023,368,363
2024,302,348.3333333333333
2025,375,NA
