country,unique_diseases
United States of America,28
France,24
China,21
Congo Democratic Republic of the,21
United Kingdom of Great Britain and Northern Ireland,21
Sudan,18
Brazil,17
India,16
Spain,16
Netherlands,15
Ethiopia,14
Nigeria,14
Uganda,14
Afghanistan,13
Canada,13
Congo,13
Germany,13
Ghana,13
Malaysia,13
Pakistan,13
Chad,12
Kenya,12
Niger,12
Philippines,12
South Africa,12
Tanzania United Republic of,12
Argentina,11
Colombia,11
Guinea,11
Italy,11
Mexico,11
Peru,11
Senegal,11
Sweden,11
Thailand,11
Zambia,11
Angola,10
Australia,10
Bangladesh,10
Bolivia (Plurinational State of),10
Liberia,10
Mali,10
Somalia,10
Togo,10
Austria,9
Belgium,9
Benin,9
Burkina Faso,9
Cameroon,9
Central African Republic,9
Côte d'Ivoire,9
Denmark,9
Ecuador,9
Indonesia,9
Norway,9
Russian Federation,9
Rwanda,9
Singapore,9
Yemen,9
Algeria,8
Burundi,8
Greece,8
Honduras,8
Ireland,8
Japan,8
Korea Republic of,8
Madagascar,8
Mozambique,8
Panama,8
Portugal,8
Romania,8
South Sudan,8
Venezuela (Bolivarian Republic of),8
Viet Nam,8
Cambodia,7
Chile,7
Costa Rica,7
French Guiana,7
Guatemala,7
Israel,7
Mauritania,7
Nepal,7
Nicaragua,7
Paraguay,7
Sierra Leone,7
Switzerland,7
Belize,6
El Salvador,6
Iran (Islamic Republic of),6
Iraq,6
Lebanon,6
Malawi,6
Myanmar,6
Namibia,6
Poland,6
Saudi Arabia,6
Slovenia,6
Timor-Leste,6
Turkey,6
Barbados,5
Cabo Verde,5
Cuba,5
Dominican Republic,5
Egypt,5
Fiji,5
Gabon,5
Guyana,5
Haiti,5
Jamaica,5
Lao People's Democratic Republic,5
Maldives,5
Palestine State of,5
Qatar,5
Serbia,5
Sri Lanka,5
Suriname,5
Trinidad and Tobago,5
Zimbabwe,5
Albania,4
Antigua and Barbuda,4
Bahamas,4
Bosnia and Herzegovina,4
Bulgaria,4
Cayman Islands,4
Croatia,4
Curaçao,4
Cyprus,4
Dominica,4
Finland,4
Gambia,4
Georgia,4
Grenada,4
Guadeloupe,4
Guinea-Bissau,4
Hong Kong,4
Hungary,4
Kosovo,4
Latvia,4
Luxembourg,4
Mauritius,4
Micronesia (Federated States of),4
Morocco,4
New Caledonia,4
Oman,4
Papua New Guinea,4
Réunion,4
Saint Lucia,4
Saint Martin (French part),4
Saint Vincent and the Grenadines,4
Samoa,4
Seychelles,4
Slovakia,4
Syrian Arab Republic,4
Tajikistan,4
Tonga,4
Tunisia,4
Ukraine,4
United Arab Emirates,4
Uruguay,4
American Samoa,3
Armenia,3
Aruba,3
Bahrain,3
Bermuda,3
Bhutan,3
Bonaire Sint Eustatius and Saba,3
Brunei Darussalam,3
Comoros,3
Cook Islands,3
Czechia,3
Djibouti,3
Equatorial Guinea,3
French Polynesia,3
Guam,3
Iceland,3
Jordan,3
Kazakhstan,3
Kiribati,3
Kuwait,3
Kyrgyzstan,3
Lesotho,3
Malta,3
Martinique,3
Mayotte,3
Moldova Republic of,3
Mongolia,3
New Zealand,3
North Macedonia,3
Palau,3
Puerto Rico,3
Saint Kitts and Nevis,3
Sao Tome and Principe,3
Sint Maarten (Dutch part),3
Solomon Islands,3
Taiwan Province of China,3
Tokelau,3
Turks and Caicos Islands,3
Tuvalu,3
Vanuatu,3
Virgin Islands (British),3
Virgin Islands (U.S.),3
Wallis and Futuna,3
Andorra,2
Anguilla,2
Azerbaijan,2
Belarus,2
Botswana,2
Eritrea,2
Estonia,2
Eswatini,2
Falkland Islands (Malvinas),2
Gibraltar,2
Guernsey,2
Isle of Man,2
Jersey,2
Libya,2
Lithuania,2
Marshall Islands,2
Monaco,2
Montenegro,2
Montserrat,2
Nauru,2
Niue,2
Northern Mariana Islands,2
Saint Barthélemy,2
Uzbekistan,2
Faroe Islands,1
Greenland,1
Holy See,1
Korea (Democratic People's Republic of),1
Liechtenstein,1
Macao,1
Pitcairn,1
Saint Helena Ascension and Tristan da Cunha,1
Saint Pierre and Miquelon,1
San Marino,1
