country,iso3,outbreak_records,unique_diseases,years_reporting
Afghanistan,AFG,27,13,15
Albania,ALB,10,4,9
Algeria,DZA,15,8,12
American Samoa,ASM,5,3,5
Andorra,AND,5,2,5
Angola,AGO,23,10,18
Anguilla,AIA,4,2,4
Antigua and Barbuda,ATG,7,4,7
Argentina,ARG,20,11,11
Armenia,ARM,9,3,8
Aruba,ABW,7,3,6
Australia,AUS,18,10,12
Austria,AUT,19,9,14
Azerbaijan,AZE,9,2,8
Bahamas,BHS,9,4,7
Bahrain,BHR,5,3,5
Bangladesh,BGD,29,10,18
Barbados,BRB,11,5,8
Belarus,BLR,6,2,5
Belgium,BEL,17,9,12
Belize,BLZ,12,6,8
Benin,BEN,22,9,16
Bermuda,BMU,6,3,5
Bhutan,BTN,9,3,8
Bolivia (Plurinational State of),BOL,22,10,12
Bonaire Sint Eustatius and Saba,BES,6,3,6
Bosnia and Herzegovina,BIH,9,4,9
Botswana,BWA,6,2,6
Brazil,BRA,45,17,22
Brunei Darussalam,BRN,9,3,8
Bulgaria,BGR,10,4,9
Burkina Faso,BFA,34,9,21
Burundi,BDI,20,8,12
Cabo Verde,CPV,11,5,9
Cambodia,KHM,24,7,17
Cameroon,CMR,33,9,17
Canada,CAN,25,13,16
Cayman Islands,CYM,7,4,6
Central African Republic,CAF,26,9,17
Chad,TCD,40,12,21
Chile,CHL,20,7,14
China,CHN,49,21,26
Colombia,COL,21,11,14
Comoros,COM,7,3,7
Congo,COG,32,13,18
Congo Democratic Republic of the,COD,79,21,30
Cook Islands,COK,7,3,7
Costa Rica,CRI,15,7,9
Croatia,HRV,11,4,9
Cuba,CUB,12,5,10
Curaçao,CUW,7,4,7
Cyprus,CYP,10,4,9
Czechia,CZE,11,3,9
Côte d'Ivoire,CIV,33,9,17
Denmark,DNK,17,9,12
Djibouti,DJI,6,3,6
Dominica,DMA,7,4,6
Dominican Republic,DOM,11,5,9
Ecuador,ECU,17,9,11
Egypt,EGY,14,5,14
El Salvador,SLV,14,6,11
Equatorial Guinea,GNQ,6,3,5
Eritrea,ERI,4,2,4
Estonia,EST,8,2,7
Eswatini,SWZ,6,2,6
Ethiopia,ETH,31,14,17
Falkland Islands (Malvinas),FLK,4,2,4
Faroe Islands,FRO,3,1,3
Fiji,FJI,10,5,10
Finland,FIN,12,4,10
France,FRA,43,24,21
French Guiana,GUF,12,7,6
