year,observed,fitted
1996,78,68.9045362737686
1997,42,64.7229701633739
1998,84,61.00054931578399
1999,66,57.881318704686244
2000,39,55.480087152622325
2001,48,53.900721771794736
2002,35,53.25684535022196
2003,82,53.696303219873904
2004,73,55.32849346322293
2005,40,57.91181262188032
2006,43,61.088633196584205
2007,29,64.43022905474244
2008,48,67.40871373418685
2009,207,69.40657017826769
2010,73,69.77572962472038
2011,48,67.97991590583052
2012,33,64.35771587871835
2013,33,59.97273671090074
2014,40,55.7470557664182
2015,57,52.382521953842826
2016,58,50.4230194918333
2017,57,50.38843252847826
2018,43,52.975367654871356
2019,95,59.15804003207838
2020,37,69.79135176236362
2021,54,86.19117600271436
2022,189,110.41363123285589
2023,158,145.38064706735003
2024,159,194.95745516386924
2025,265,263.84433239526663
