disease,countries_reported
COVID-19,231
Influenza due to identified zoonotic or pandemic influenza virus,209
"Dengue fever, unspecified",112
Cholera,79
Monkeypox,71
Measles,70
"Acute poliomyelitis, unspecified",52
Chikungunya mosquito-borne viral fever,46
"Yellow fever, unspecified",40
"Acute viral hepatitis, unspecified",38
Meningococcal meningitis,37
Zika virus disease,35
Severe acute respiratory syndrome,31
Middle East respiratory syndrome,28
Unspecified viral haemorrhagic fever,28
"Viral meningitis not elsewhere classified, unspecified",27
Ebola disease,18
Acute hepatitis A,16
Rift Valley fever,14
"Diphtheria, unspecified",13
Lassa fever,13
"Infection, unspecified",12
Oropouche virus disease,12
Escherichia coli,11
Infections due to other Salmonella,11
"Plague, unspecified",11
Infectious gastroenteritis or colitis without specification of infectious agent,10
West Nile virus infection,10
Enterovirus infection of unspecified site,9
Legionnaires disease,9
Marburg disease,9
Botulism,8
Intestinal infections due to Shigella,8
"Leptospirosis, unspecified",8
"Malaria, unspecified",8
Acute hepatitis E,7
Typhoid fever,6
"Bacterial meningitis, unspecified",5
Infections due to Chlamydia psittaci,5
"Sepsis due to streptococcus, group A",5
Unspecified viral disease,5
"Anthrax, unspecified",4
Japanese encephalitis virus disease,4
"Listeriosis, unspecified",4
Sylvatic yellow fever,4
Hantavirus pulmonary syndrome,3
"Malaria due to Plasmodium falciparum, unspecified",3
"Arenavirus disease, unspecified",2
"Arthropod-borne viral fever, virus unspecified",2
"Coronavirus infection, unspecified site",2
Crimean-Congo haemorrhagic fever,2
Cutaneous anthrax,2
"Influenza with other manifestations, seasonal influenza virus identified",2
"Leishmaniasis, unspecified",2
"Rabies, unspecified",2
Scarlet fever,2
Viral pneumonia,2
Western equine encephalitis,2
Acute bronchitis due to Rhinovirus,1
"Bacterial foodborne intoxications, unspecified",1
Bubonic plague,1
Chapare virus,1
"Coccidioidomycosis, unspecified",1
"Creutzfeldt-Jakob disease, unspecified",1
Dracunculiasis,1
Enteroviral vesicular stomatitis,1
Epidemic louse-borne typhus fever due to Rickettsia prowazekii,1
Foodborne staphylococcal intoxication,1
"Gonococcal infection, unspecified",1
Guillain Barre syndrome,1
Haemorrhagic fever with renal syndrome,1
"Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified",1
Human respiratory syncytial virus,1
Malaria due to Plasmodium vivax with other complications,1
"Mosquito-borne viral encephalitis, unspecified",1
O'nyong-nyong mosquito-borne viral fever,1
Other specified viral diseases,1
Pneumonia due to Adenovirus,1
Pneumonia due to Human metapneumovirus,1
Pneumonia due to Mycoplasma pneumoniae,1
Pneumonia due to Respiratory syncytial virus,1
Pneumonia due to parainfluenza virus,1
Pseudomonas aeruginosa,1
Sepsis without septic shock,1
Shigellosis due to Shigella dysenteriae,1
St. Louis encephalitis virus infection,1
Sudan virus disease,1
Tuberculosis of the respiratory system,1
"Tularaemia, unspecified",1
Urban rabies,1
Venezuelan equine fever,1
Whooping cough due to Bordetella pertussis,1
