disease,years_reported
"Yellow fever, unspecified",29
Influenza due to identified zoonotic or pandemic influenza virus,27
Cholera,26
"Acute poliomyelitis, unspecified",23
Meningococcal meningitis,20
Ebola disease,18
"Dengue fever, unspecified",17
Unspecified viral haemorrhagic fever,17
Lassa fever,15
Rift Valley fever,15
Middle East respiratory syndrome,14
"Plague, unspecified",14
Chikungunya mosquito-borne viral fever,11
"Infection, unspecified",11
Marburg disease,11
Measles,11
Monkeypox,11
Unspecified viral disease,9
Acute hepatitis E,8
Legionnaires disease,8
"Viral meningitis not elsewhere classified, unspecified",8
Severe acute respiratory syndrome,7
West Nile virus infection,7
COVID-19,6
Infectious gastroenteritis or colitis without specification of infectious agent,6
Typhoid fever,6
Zika virus disease,6
"Diphtheria, unspecified",5
Intestinal infections due to Shigella,5
"Leptospirosis, unspecified",5
"Anthrax, unspecified",4
Enterovirus infection of unspecified site,4
Escherichia coli,4
Infections due to other Salmonella,4
Japanese encephalitis virus disease,4
"Malaria, unspecified",4
Hantavirus pulmonary syndrome,3
"Influenza with other manifestations, seasonal influenza virus identified",3
"Listeriosis, unspecified",3
Oropouche virus disease,3
"Arthropod-borne viral fever, virus unspecified",2
Botulism,2
"Coronavirus infection, unspecified site",2
Crimean-Congo haemorrhagic fever,2
Cutaneous anthrax,2
"Malaria due to Plasmodium falciparum, unspecified",2
"Rabies, unspecified",2
"Tularaemia, unspecified",2
Viral pneumonia,2
Western equine encephalitis,2
Acute bronchitis due to Rhinovirus,1
Acute hepatitis A,1
"Acute viral hepatitis, unspecified",1
"Arenavirus disease, unspecified",1
"Bacterial foodborne intoxications, unspecified",1
"Bacterial meningitis, unspecified",1
Bubonic plague,1
Chapare virus,1
"Coccidioidomycosis, unspecified",1
"Creutzfeldt-Jakob disease, unspecified",1
Dracunculiasis,1
Enteroviral vesicular stomatitis,1
Epidemic louse-borne typhus fever due to Rickettsia prowazekii,1
Foodborne staphylococcal intoxication,1
"Gonococcal infection, unspecified",1
Guillain Barre syndrome,1
Haemorrhagic fever with renal syndrome,1
"Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified",1
Human respiratory syncytial virus,1
Infections due to Chlamydia psittaci,1
"Leishmaniasis, unspecified",1
Malaria due to Plasmodium vivax with other complications,1
"Mosquito-borne viral encephalitis, unspecified",1
O'nyong-nyong mosquito-borne viral fever,1
Other specified viral diseases,1
Pneumonia due to Adenovirus,1
Pneumonia due to Human metapneumovirus,1
Pneumonia due to Mycoplasma pneumoniae,1
Pneumonia due to Respiratory syncytial virus,1
Pneumonia due to parainfluenza virus,1
Pseudomonas aeruginosa,1
Scarlet fever,1
"Sepsis due to streptococcus, group A",1
Sepsis without septic shock,1
Shigellosis due to Shigella dysenteriae,1
St. Louis encephalitis virus infection,1
Sudan virus disease,1
Sylvatic yellow fever,1
Tuberculosis of the respiratory system,1
Urban rabies,1
Venezuelan equine fever,1
Whooping cough due to Bordetella pertussis,1
