region,disease_group,standardised_residual,absolute_residual
Asia,Middle East respiratory syndrome,12.148683395578871,12.148683395578871
Africa,Cholera,11.818886361246273,11.818886361246273
Americas,"Dengue fever, unspecified",11.09676503143225,11.09676503143225
Africa,"Yellow fever, unspecified",10.936042512148996,10.936042512148996
Africa,Meningococcal meningitis,10.33146266458013,10.33146266458013
Africa,Influenza due to identified zoonotic or pandemic influenza virus,-9.890360440686386,9.890360440686386
Africa,"Acute poliomyelitis, unspecified",8.924415667304336,8.924415667304336
Americas,Zika virus disease,8.102262255802954,8.102262255802954
Africa,"Viral meningitis not elsewhere classified, unspecified",8.009525353656628,8.009525353656628
Africa,COVID-19,-7.990020244708031,7.990020244708031
Europe,Cholera,-7.743973468025678,7.743973468025678
Europe,"Dengue fever, unspecified",-6.705622539675926,6.705622539675926
Asia,Influenza due to identified zoonotic or pandemic influenza virus,6.2816644902649985,6.2816644902649985
Africa,Ebola disease,6.1681611446904014,6.1681611446904014
Asia,"Yellow fever, unspecified",-6.105414666586266,6.105414666586266
Europe,COVID-19,5.881467910728386,5.881467910728386
Europe,"Acute viral hepatitis, unspecified",5.669778616946249,5.669778616946249
Africa,Middle East respiratory syndrome,-5.597518010599323,5.597518010599323
Americas,"Acute poliomyelitis, unspecified",-5.592278064778084,5.592278064778084
Europe,Monkeypox,5.269048660200241,5.269048660200241
Oceania,COVID-19,5.162098314714102,5.162098314714102
Europe,"Yellow fever, unspecified",-5.057003069335839,5.057003069335839
Americas,Meningococcal meningitis,-4.820994809036439,4.820994809036439
Africa,"Dengue fever, unspecified",-4.647142846090992,4.647142846090992
Americas,Cholera,-4.532083336665486,4.532083336665486
Africa,"Acute viral hepatitis, unspecified",-4.4528694062250205,4.4528694062250205
Europe,"Acute poliomyelitis, unspecified",-4.396143210298212,4.396143210298212
Americas,Middle East respiratory syndrome,-4.217545741441461,4.217545741441461
Africa,Zika virus disease,-4.108687199401973,4.108687199401973
Europe,Influenza due to identified zoonotic or pandemic influenza virus,4.078534570545787,4.078534570545787
Africa,Lassa fever,3.9765350832256185,3.9765350832256185
Asia,Meningococcal meningitis,-3.641097046611941,3.641097046611941
Oceania,Other,-3.592793754054964,3.592793754054964
Americas,Chikungunya mosquito-borne viral fever,3.5901709074643646,3.5901709074643646
Americas,COVID-19,3.530982333218597,3.530982333218597
Africa,Unspecified viral haemorrhagic fever,3.408112017071323,3.408112017071323
Oceania,Influenza due to identified zoonotic or pandemic influenza virus,3.3714651323746514,3.3714651323746514
Europe,Other,3.2322234172503403,3.2322234172503403
Africa,Severe acute respiratory syndrome,-3.0394169899568415,3.0394169899568415
Americas,"Viral meningitis not elsewhere classified, unspecified",-3.0367850734766577,3.0367850734766577
Oceania,"Dengue fever, unspecified",3.0305502930541786,3.0305502930541786
Oceania,Cholera,-3.015331939502648,3.015331939502648
Africa,Measles,-2.9482460769370946,2.9482460769370946
Asia,Lassa fever,-2.9043922126520796,2.9043922126520796
Oceania,"Yellow fever, unspecified",-2.8916562753894373,2.8916562753894373
Europe,"Viral meningitis not elsewhere classified, unspecified",-2.8705489887292583,2.8705489887292583
Americas,Monkeypox,-2.7409218755009928,2.7409218755009928
Asia,"Viral meningitis not elsewhere classified, unspecified",-2.72485895610957,2.72485895610957
Asia,COVID-19,-2.600465029844411,2.600465029844411
Asia,Severe acute respiratory syndrome,2.5609922508856346,2.5609922508856346
Asia,Ebola disease,-2.5258901612916027,2.5258901612916027
Europe,Severe acute respiratory syndrome,2.5114946380002143,2.5114946380002143
Europe,Meningococcal meningitis,-2.4813624734477773,2.4813624734477773
Americas,Ebola disease,-2.4657330428769524,2.4657330428769524
Americas,Lassa fever,-2.412756643916926,2.412756643916926
Europe,Unspecified viral haemorrhagic fever,-2.248119931438017,2.248119931438017
Oceania,Meningococcal meningitis,-2.2263380933643937,2.2263380933643937
Asia,Measles,1.9858696911029943,1.9858696911029943
Oceania,Middle East respiratory syndrome,-1.9751951136705426,1.9751951136705426
Europe,Zika virus disease,-1.781065213852548,1.781065213852548
Europe,Chikungunya mosquito-borne viral fever,-1.7292021241921207,1.7292021241921207
Americas,Unspecified viral haemorrhagic fever,-1.715181670555622,1.715181670555622
Asia,Monkeypox,-1.6587809302270748,1.6587809302270748
Americas,Measles,1.6345825131546308,1.6345825131546308
Africa,Chikungunya mosquito-borne viral fever,-1.6055665660945355,1.6055665660945355
Oceania,Unspecified viral haemorrhagic fever,-1.5468529904911132,1.5468529904911132
Oceania,"Viral meningitis not elsewhere classified, unspecified",-1.4960316283119444,1.4960316283119444
Europe,Ebola disease,-1.4880063132444874,1.4880063132444874
Americas,Other,-1.4876392631057695,1.4876392631057695
Oceania,Monkeypox,-1.4497038192369205,1.4497038192369205
Oceania,Ebola disease,-1.4255981146002141,1.4255981146002141
Europe,Lassa fever,1.3929669044489006,1.3929669044489006
Oceania,"Acute viral hepatitis, unspecified",-1.3891059141875535,1.3891059141875535
Oceania,"Acute poliomyelitis, unspecified",-1.2711425528375921,1.2711425528375921
Oceania,Lassa fever,-1.2534081681622873,1.2534081681622873
Asia,Zika virus disease,-1.225152621245792,1.225152621245792
Americas,Severe acute respiratory syndrome,-1.2231368338023363,1.2231368338023363
Africa,Other,0.8598095797430678,0.8598095797430678
Asia,Other,-0.7612950382397528,0.7612950382397528
Asia,"Dengue fever, unspecified",-0.7314625271365837,0.7314625271365837
Asia,Unspecified viral haemorrhagic fever,0.7235389677283697,0.7235389677283697
Oceania,Zika virus disease,-0.6248826295091379,0.6248826295091379
Oceania,Measles,0.6039632574380983,0.6039632574380983
Europe,Measles,-0.524037437193448,0.524037437193448
Americas,Influenza due to identified zoonotic or pandemic influenza virus,-0.5163159837894457,0.5163159837894457
Oceania,Chikungunya mosquito-borne viral fever,-0.48036106018022495,0.48036106018022495
Oceania,Severe acute respiratory syndrome,-0.4740806195709497,0.4740806195709497
Europe,Middle East respiratory syndrome,-0.4724892652682273,0.4724892652682273
Asia,"Acute viral hepatitis, unspecified",0.3697896556434182,0.3697896556434182
Asia,Chikungunya mosquito-borne viral fever,0.21966526131169523,0.21966526131169523
Americas,"Yellow fever, unspecified",-0.18570263311651075,0.18570263311651075
Asia,Cholera,-0.16947749295383016,0.16947749295383016
Asia,"Acute poliomyelitis, unspecified",0.09915758764390281,0.09915758764390281
Americas,"Acute viral hepatitis, unspecified",0.052547379049152396,0.052547379049152396
