country,n
French Guiana,12
Hong Kong,12
New Caledonia,10
Réunion,10
Turks and Caicos Islands,10
Guadeloupe,9
Kosovo,9
Saint Martin (French part),9
Virgin Islands (British),9
French Polynesia,8
Martinique,8
Wallis and Futuna,8
Aruba,7
Cayman Islands,7
Curaçao,7
Guam,7
Mayotte,7
Palestine State of,7
Puerto Rico,7
Saint Barthélemy,7
Sint Maarten (Dutch part),7
Bermuda,6
Bonaire Sint Eustatius and Saba,6
Liechtenstein,6
Northern Mariana Islands,6
Virgin Islands (U.S.),6
American Samoa,5
Gibraltar,5
Guernsey,5
Jersey,5
Montserrat,5
Anguilla,4
Falkland Islands (Malvinas),4
Isle of Man,4
Saint Pierre and Miquelon,4
Tokelau,4
Faroe Islands,3
Greenland,3
Taiwan Province of China,3
Saint Helena Ascension and Tristan da Cunha,2
Holy See,1
Macao,1
Pitcairn,1
