year,observed,fitted
1996,78,60.606671299900924
1997,42,61.95368760136652
1998,84,63.208281120676
1999,66,64.23932628005336
2000,39,64.90949681134363
2001,48,65.08124676140389
2002,35,64.6255023314984
2003,82,63.432603224655196
2004,73,61.50133758823865
2005,40,59.15535913461631
2006,43,56.76204321279959
2007,29,54.63780179791252
2008,48,53.053809496957854
2009,207,52.25705954883194
2010,73,52.5043500774455
2011,48,54.10162394343688
2012,33,57.2569561389265
2013,33,62.08445442460445
2014,40,68.7913361717199
2015,57,77.68559403725799
2016,58,89.17902362962309
2017,57,103.79107688970223
2018,43,122.1495895054557
2019,95,145.01749774463366
2020,254,173.42645283493815
2021,273,208.66473492437908
2022,418,252.28637724592613
2023,367,306.1412227044848
2024,302,372.3962828189079
2025,374,453.5410682686142
