disease,outbreak_records
COVID-19,1214
Influenza due to identified zoonotic or pandemic influenza virus,554
Cholera,245
"Dengue fever, unspecified",209
"Yellow fever, unspecified",159
"Acute poliomyelitis, unspecified",125
Monkeypox,108
Measles,99
Meningococcal meningitis,96
Middle East respiratory syndrome,76
Chikungunya mosquito-borne viral fever,58
Unspecified viral haemorrhagic fever,49
"Viral meningitis not elsewhere classified, unspecified",44
Ebola disease,40
"Acute viral hepatitis, unspecified",38
